"","uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","sampleCode","cnSampleID","cnSampleCode","sampleType","acidTreatment","d15N","organicd13C","nitrogenPercent","organicCPercent","CNratio","cnIsotopeQF","cnPercentQF","isotopeAccuracyQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"1","6f838ec9-0dd6-41c4-97c4-f51c28217f9b",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:39:00,"JERC_048-M-21-32-20190730","A00000074259","JERC_048-M-21-32-20190730-CN","A00000075008","soil","N",3.2,-26.9,0.05,1.44,28.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"2","45457a40-8665-43e0-813f-0fce3966b1ac",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:39:00,"JERC_048-M-21-32-20190730","A00000074259","JERC_048-M-21-32-20190730-CN","A00000075008","soil","N",3.3,-26.9,0.05,1.44,29.9,"OK","OK","OK","OK",2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"3","a8b862a7-64dd-4e59-a338-7a6fc1a4d4ce",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 16:50:00,"JERC_048-M-3.5-35-20190730","A00000074257","JERC_048-M-3.5-35-20190730-CN","A00000075009","soil","N",4.5,-24.9,0.03,0.79,23.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"4","6fd29164-bb57-415a-b2bb-2b88e0bd6035",2020-01-16,"JERC_048.basePlot.bgc","D03","JERC","JERC_048","tower",2019-07-30 17:06:00,"JERC_048-M-17-2-20190730","A00000074258","JERC_048-M-17-2-20190730-CN","A00000075010","soil","N",3.1,-25.8,0.05,1.28,27.2,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"5","daf2e854-c8cf-44ac-a88e-ce91ba0c003d",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 17:50:00,"JERC_049-M-9-14.5-20190730","A00000074262","JERC_049-M-9-14.5-20190730-CN","A00000075014","soil","N",2.8,-26.4,0.03,0.89,26.1,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"6","7ef61f4f-6f4b-4b6f-b77e-f4674bd89ed0",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 18:04:00,"JERC_049-M-23-4.5-20190730","A00000074261","JERC_049-M-23-4.5-20190730-CN","A00000075015","soil","N",4,-25.8,0.03,0.88,25.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"7","287376eb-2617-4bda-8217-05ef5ebe0f71",2020-01-16,"JERC_049.basePlot.bgc","D03","JERC","JERC_049","tower",2019-07-30 18:15:00,"JERC_049-M-35-24-20190730","A00000074260","JERC_049-M-35-24-20190730-CN","A00000075005","soil","N",5.2,-26.2,0.02,0.73,31.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"8","46503edc-a4f1-4dee-823f-ccaab788cbfe",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:20:00,"JERC_050-M-0-16.5-20190730","A00000074263","JERC_050-M-0-16.5-20190730-CN","A00000075024","soil","N",3.6,-25.9,0.04,0.85,20.1,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"9","9b447b21-967f-4a7c-9edf-1deb10b34fb7",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:29:00,"JERC_050-M-5.5-30.5-20190730","A00000074264","JERC_050-M-5.5-30.5-20190730-CN","A00000075016","soil","N",1.5,-27.1,0.09,1.51,17,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"10","84d0b3f5-415a-4d4b-97e9-9b58477bd695",2020-01-16,"JERC_050.basePlot.bgc","D03","JERC","JERC_050","tower",2019-07-30 18:44:00,"JERC_050-M-34.5-9-20190730","A00000074265","JERC_050-M-34.5-9-20190730-CN","A00000074990","soil","N",3,-26.2,0.04,0.81,22.4,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"11","0471e484-6289-4fa1-9f87-7e18f0792b8c",2020-01-16,"JERC_047.basePlot.bgc","D03","JERC","JERC_047","tower",2019-07-30 19:17:00,"JERC_047-M-5.5-30.5-20190730","A00000074256","JERC_047-M-5.5-30.5-20190730-CN","A00000075021","soil","N",0.9,-26.3,0.04,1.22,29.6,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"12","fd8c8be8-ad7b-4b7f-b069-b71b41b978fc",2020-01-16,"JERC_047.basePlot.bgc","D03","JERC","JERC_047","tower",2019-07-30 19:29:00,"JERC_047-M-0-16.5-20190730","A00000074288","JERC_047-M-0-16.5-20190730-CN","A00000075022","soil","N",4.3,-23.7,0.03,0.66,21.8,"sample d15N out of qaqc tolerance","sample percent N out of qaqc tolerance","OK","OK",1,"N amplitude below threshold for reliable isotopic data; Max sample used.","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"13","13b45361-3797-4671-b9bf-88e50216b573",2020-01-16,"JERC_047.basePlot.bgc","D03","JERC","JERC_047","tower",2019-07-30 19:39:00,"JERC_047-M-34.5-9-20190730","A00000074255","JERC_047-M-34.5-9-20190730-CN","A00000075023","soil","N",3,-26.8,0.05,1.08,22.4,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T050835Z","RELEASE-2021"
"14","2779b59b-79a1-42ed-bcdb-e269fe17ec8b",2019-10-29,"UNDE_037.basePlot.bgc","D05","UNDE","UNDE_037","tower",2019-07-17 14:31:00,"UNDE_037-M-35.5-30.5-20190717","A00000077013","UNDE_037-M-35.5-30.5-20190717-CN","A00000077428","soil","N",0.2,-28,0.18,3.92,21.7,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"15","fec9e480-11bd-416a-a803-d96d86ffca1b",2019-10-29,"UNDE_037.basePlot.bgc","D05","UNDE","UNDE_037","tower",2019-07-17 15:03:00,"UNDE_037-O-27.5-0.5-20190717","A00000077016","UNDE_037-O-27.5-0.5-20190717-CN","A00000077429","soil","N",0.5,-26.7,1.97,44.7,22.7,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"16","47a95e01-64f1-42a9-b1c6-50e393a1d97b",2019-10-29,"UNDE_037.basePlot.bgc","D05","UNDE","UNDE_037","tower",2019-07-17 15:56:00,"UNDE_037-O-1-26-20190717","A00000077014","UNDE_037-O-1-26-20190717-CN","A00000077430","soil","N",3.4,-26,1.77,38.43,21.7,"OK","OK","OK","OK",2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"17","5e662c0f-9dad-4da6-9abb-61ef0c43a614",2019-10-29,"UNDE_037.basePlot.bgc","D05","UNDE","UNDE_037","tower",2019-07-17 15:56:00,"UNDE_037-O-1-26-20190717","A00000077014","UNDE_037-O-1-26-20190717-CN","A00000077430","soil","N",-0.2,-28.4,1.66,36.02,21.7,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"18","6a20d5e8-b1f5-47ab-9eff-cc5e171f6445",2019-10-29,"UNDE_037.basePlot.bgc","D05","UNDE","UNDE_037","tower",2019-07-17 16:12:00,"UNDE_037-M-1-26-20190717","A00000077015","UNDE_037-M-1-26-20190717-CN","A00000077431","soil","N",0.6,-28,0.14,3.39,24.7,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"19","74ae6856-2c5a-43da-b766-4fff66e7df47",2019-10-29,"UNDE_043.basePlot.bgc","D05","UNDE","UNDE_043","tower",2019-07-17 17:24:00,"UNDE_043-M-18.5-3.5-20190717","A00000077027","UNDE_043-M-18.5-3.5-20190717-CN","A00000077425","soil","N",-4.7,-28.4,0.18,2.71,14.8,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"20","46fc2789-f160-47a4-92d8-8218d78f3e60",2019-10-29,"UNDE_038.basePlot.bgc","D05","UNDE","UNDE_038","tower",2019-07-17 17:34:00,"UNDE_038-O-7-20-20190717","A00000077020","UNDE_038-O-7-20-20190717-CN","A00000077421","soil","N",4.3,-26.6,1.79,45.93,25.7,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"21","2103fad7-44f0-4cda-a1f5-bcfe4470049c",2019-10-31,"UNDE_043.basePlot.bgc","D05","UNDE","UNDE_043","tower",2019-07-17 18:02:00,"UNDE_043-M-21-33-20190717","A00000077026","UNDE_043-M-21-33-20190717-CN","A00000077426","soil","N",4.2,-26.9,0.08,1.22,14.3,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"22","4cc05ecd-a340-4464-b652-1c1f048ba020",2019-10-29,"UNDE_043.basePlot.bgc","D05","UNDE","UNDE_043","tower",2019-07-17 18:21:00,"UNDE_043-M-13.5-34-20190717","A00000077011","UNDE_043-M-13.5-34-20190717-CN","A00000077427","soil","N",-4.7,-28.4,0.17,3.13,18.4,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"23","f34a85d8-297a-4e06-9c77-dd2d96a4d8d7",2019-10-29,"UNDE_038.basePlot.bgc","D05","UNDE","UNDE_038","tower",2019-07-17 18:26:00,"UNDE_038-O-1-6-20190717","A00000077023","UNDE_038-O-1-6-20190717-CN","A00000077616","soil","N",1,-26.5,1.87,46.81,25.1,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"24","5409abad-3f01-4e1a-b987-5e827bf97758",2019-10-29,"UNDE_038.basePlot.bgc","D05","UNDE","UNDE_038","tower",2019-07-17 18:59:00,"UNDE_038-O-39-5.5-20190717","A00000077018","UNDE_038-O-39-5.5-20190717-CN","A00000077423","soil","N",0.4,-27.4,1,26.96,26.8,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"25","1d36b0b1-af3c-4487-9285-a17ea755ff0a",2019-10-29,"UNDE_038.basePlot.bgc","D05","UNDE","UNDE_038","tower",2019-07-17 19:15:00,"UNDE_038-M-39-5.5-20190717","A00000077019","UNDE_038-M-39-5.5-20190717-CN","A00000077424","soil","N",-1.8,-27.7,0.24,6.38,26.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"26","cbaede7c-b332-4447-abc0-eedf9c11912e",2019-10-28,"UNDE_044.basePlot.bgc","D05","UNDE","UNDE_044","tower",2019-07-17 20:05:00,"UNDE_044-M-31-9.5-20190717","A00000077032","UNDE_044-M-31-9.5-20190717-CN","A00000077418","soil","N",1.5,-26.5,0.19,3.73,19.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"27","0198953a-c7c7-4ff5-993d-336968bf94d1",2019-10-31,"UNDE_044.basePlot.bgc","D05","UNDE","UNDE_044","tower",2019-07-17 20:38:00,"UNDE_044-M-5.5-23-20190717","A00000077030","UNDE_044-M-5.5-23-20190717-CN","A00000077417","soil","N",3.3,-26.7,0.1,1.31,13.2,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"28","95e03247-0a61-40dd-938c-ea87d6317503",2019-10-28,"UNDE_044.basePlot.bgc","D05","UNDE","UNDE_044","tower",2019-07-17 21:05:00,"UNDE_044-O-27.5-38.5-20190717","A00000077035","UNDE_044-O-27.5-38.5-20190717-CN","A00000077419","soil","N",-0.5,-27.4,0.92,14.61,16,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError","20201218T084834Z","RELEASE-2021"
"29","7fe16591-1c86-4397-8933-f6dc28d68cd3",2019-10-28,"UNDE_044.basePlot.bgc","D05","UNDE","UNDE_044","tower",2019-07-17 21:12:00,"UNDE_044-M-27.5-38.5-20190717","A00000077034","UNDE_044-M-27.5-38.5-20190717-CN","A00000077420","soil","N",3.7,-26.1,0.23,4.42,18.9,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"30","a72256ae-922e-414c-b169-d174be3bd73a",2019-10-28,"UNDE_044.basePlot.bgc","D05","UNDE","UNDE_044","tower",2019-07-17 21:12:00,"UNDE_044-M-27.5-38.5-20190717","A00000077034","UNDE_044-M-27.5-38.5-20190717-CN","A00000077420","soil","N",3.7,-26.1,0.21,3.95,18.8,"OK","OK","OK","OK",2,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T084834Z","RELEASE-2021"
"31","eb0fe834-b01d-4af3-ad22-dd68dbeab296",2019-07-23,"KONA_059.basePlot.bgc","D06","KONA","KONA_059","tower",2019-06-18 13:37:00,"KONA_059-M-30-34-20190618","A00000079604","KONA_059-M-30-34-20190618-CN","A00000079615","soil","N",6.9,-17.5,0.17,1.89,11.5,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T061224Z","RELEASE-2021"
"32","39f2a83c-a9c7-45e8-bc20-f85fa913e3d9",2019-07-23,"KONA_059.basePlot.bgc","D06","KONA","KONA_059","tower",2019-06-18 14:15:00,"KONA_059-M-36-8.5-20190618","A00000079605","KONA_059-M-36-8.5-20190618-CN","A00000079613","soil","N",6.4,-18.8,0.17,1.91,11.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T061224Z","RELEASE-2021"
"33","c83fed87-8557-4557-8d94-c8778032401c",2019-07-23,"KONA_059.basePlot.bgc","D06","KONA","KONA_059","tower",2019-06-18 14:49:00,"KONA_059-M-7.5-5.5-20190618","A00000079609","KONA_059-M-7.5-5.5-20190618-CN","A00000079639","soil","N",6,-18.3,0.18,2.12,11.6,"OK","OK","OK","OK",1,NA,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA,"20201218T061224Z","RELEASE-2021"
